Station,Station Number,Lat (Deg),Lat (Min),Long (Deg),Long (Min),1,2,3,4,5,6,7,8,9,10,11,12
chuadanga,41926,23,39,88,49,0,0,0,0,0,0,0,0,0,0,0,0
Jessore,41936,23,12,89,20,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,41947,22,47,89,34,0,0,0,-1.47619,0,0,0,0,0,0,0,0
Satkhira,41946,22,43,89,5,0,0,0,-2.22581,0,0,0,0,0,0,0,0
Chittagong,41977,22,21,91,49,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),41978,22,13,91,48,0,0,0,0,0,0,0,0,0,0,0,0
Cox'sbazar,41992,21,27,91,58,0,0,0,0,0,0,0,0,0,0,-2,0
Feni,41943,23,2,91,25,0,0,0,-3.64286,0,0,0,0,0,0,0,0
Rangamati,41966,22,38,92,9,0,0,0,0,0,0,0,0,0,2.5,0,0
Sitakunda,41965,22,38,91,42,0,0,-1.38462,0,0,0,0,0,0,0,-0.33333,0
Teknaf,41998,20,52,92,18,0,0,0,0,0,0,0,0,0,0,-1.73333,0
Bogra,41883,24,51,89,22,0,0,0,0,0,0,0,0,-3.94444,0,0,0
Dinajpur,41863,25,39,88,41,0,0,0,0,0,0,-5.84,0,0,0,0,0
Ishurdi,41907,24,9,89,2,0,0,0,0,0,0,0,0,0,0,0,0
Rajshahi,41895,24,22,88,42,0,0,0,0,0,0,0,0,0,0,0,0
Rangpur,41859,25,44,89,16,0,0,0,0,0,0,0,0,0,0,0,0
sydpur,41858,25,45,88,55,0,0,0,0,0,0,0,0,0,0,0,0
Srimangal,41915,24,18,91,44,0,0,0,0,0,0,0,0,0,0,0,0
Sylhet,41891,24,54,91,53,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,41950,22,43,90,22,0,0,0,0,0,0,0,0,0,0,0,0
Bhola,41951,22,41,90,39,0,0,0,-2.5,0,0,0,0,0,0,0,0
Hatiya,41963,22,27,91,6,0,0,0,0,0,0,0,0,0,0,0,0
Khepupara,41984,21,59,90,14,0,0,0,-2,0,0,0,0,0,6.37838,0,0
Kutubdia,41989,21,49,91,51,0,0,0,0,0,0,0,0,0,0,-1.78788,0
M.court,41953,22,52,91,6,0,0,0,0,0,0,0,-6.93333,0,4.66667,0,0
Mongla,41958,22,28,89,36,0,0,0,0,0,0,0,0,0,0,0,0
Patuakhali,41960,22,20,90,20,0,0,0,-2.66667,0,0,0,0,0,4.16667,0,0
Sandwip,41964,22,29,91,26,0,0,0,0,0,0,0,0,0,0,0,0
Chandpur,41941,23,14,90,42,0,0,0,0,0,0,0,0,0,0,0,0
Comilla,41933,23,26,91,11,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,41923,23,46,90,23,0,0,-1.40741,0,0,0,0,0,-4.2381,0,0,0
Faridpur,41929,23,36,89,51,0,0,-1.42105,-2.76923,0,0,0,0,0,0,0,0
Madaripur,41939,23,10,90,11,0,0,-1.02778,-2.40741,0,0,0,0,0,0,0,0
Mymensingh,41886,24,44,90,25,0,0,0,0,0,0,0,0,0,0,0,0
Tangail,41909,24,15,89,56,0,-0.59936,0,0,0,0,0,0,0,0,0,0
